gene_name,gene_id,mirna_name,mirna_id,experiments,publications,cell_lines,micro_tscore
CDK6,ENSG00000105810,hsa-miR-29a-3p,MIMAT0000086,21,14,14,0.61
FASN,ENSG00000169710,hsa-miR-29a-3p,MIMAT0000086,21,13,15,0.41
FLNA,ENSG00000196924,hsa-miR-29a-3p,MIMAT0000086,21,11,13,0.53
SNRPB,ENSG00000125835,hsa-miR-29a-3p,MIMAT0000086,21,14,16,0.35
STX16,ENSG00000124222,hsa-miR-29a-3p,MIMAT0000086,21,15,15,0.79
TDG,ENSG00000139372,hsa-miR-29a-3p,MIMAT0000086,21,16,16,0.3
TSC22D3,ENSG00000157514,hsa-miR-29a-3p,MIMAT0000086,21,13,20,0.66
ZBTB5,ENSG00000168795,hsa-miR-29a-3p,MIMAT0000086,21,16,15,0.97
ANKRD28,ENSG00000206560,hsa-miR-29a-3p,MIMAT0000086,20,14,12,0.76
ARRDC3,ENSG00000113369,hsa-miR-29a-3p,MIMAT0000086,20,14,13,0.93
BMT2,ENSG00000164603,hsa-miR-29a-3p,MIMAT0000086,20,12,15,0.99
CCNA2,ENSG00000145386,hsa-miR-29a-3p,MIMAT0000086,20,14,17,0.49
COL4A1,ENSG00000187498,hsa-miR-29a-3p,MIMAT0000086,20,15,13,0.6
COL4A5,ENSG00000188153,hsa-miR-29a-3p,MIMAT0000086,20,13,10,0.97
DDX1,ENSG00000079785,hsa-miR-29a-3p,MIMAT0000086,20,12,15,0.94
MMADHC,ENSG00000168288,hsa-miR-29a-3p,MIMAT0000086,20,14,14,0.56
NSD1,ENSG00000165671,hsa-miR-29a-3p,MIMAT0000086,20,12,13,1
PEG10,ENSG00000242265,hsa-miR-29a-3p,MIMAT0000086,20,15,13,0.6
PRR14L,ENSG00000183530,hsa-miR-29a-3p,MIMAT0000086,20,13,11,0.99
PRRC2C,ENSG00000117523,hsa-miR-29a-3p,MIMAT0000086,20,14,13,0.82
QSER1,ENSG00000060749,hsa-miR-29a-3p,MIMAT0000086,20,12,16,0.39
U2AF2,ENSG00000063244,hsa-miR-29a-3p,MIMAT0000086,20,11,12,0.42
AMMECR1L,ENSG00000144233,hsa-miR-29a-3p,MIMAT0000086,19,12,16,0.92
BCOR,ENSG00000183337,hsa-miR-29a-3p,MIMAT0000086,19,16,14,0.69
CBX5,ENSG00000094916,hsa-miR-29a-3p,MIMAT0000086,19,12,12,0.72
CTNND1,ENSG00000198561,hsa-miR-29a-3p,MIMAT0000086,19,13,16,-0.04
DICER1,ENSG00000100697,hsa-miR-29a-3p,MIMAT0000086,19,14,12,0.77
DLD,ENSG00000091140,hsa-miR-29a-3p,MIMAT0000086,19,12,12,0.5
HIF1A,ENSG00000100644,hsa-miR-29a-3p,MIMAT0000086,19,11,10,0.4
MAT2A,ENSG00000168906,hsa-miR-29a-3p,MIMAT0000086,19,13,11,0.65
MLXIP,ENSG00000175727,hsa-miR-29a-3p,MIMAT0000086,19,13,13,0.56
NCOA3,ENSG00000124151,hsa-miR-29a-3p,MIMAT0000086,19,11,14,0.87
P3H1,ENSG00000117385,hsa-miR-29a-3p,MIMAT0000086,19,11,11,0.78
PLXNA1,ENSG00000114554,hsa-miR-29a-3p,MIMAT0000086,19,13,14,0.87
PPP1CC,ENSG00000186298,hsa-miR-29a-3p,MIMAT0000086,19,15,12,0.39
RNF19A,ENSG00000034677,hsa-miR-29a-3p,MIMAT0000086,19,17,14,0.81
SYNCRIP,ENSG00000135316,hsa-miR-29a-3p,MIMAT0000086,19,13,11,0.76
TET2,ENSG00000168769,hsa-miR-29a-3p,MIMAT0000086,19,14,14,0.24
TNRC18,ENSG00000182095,hsa-miR-29a-3p,MIMAT0000086,19,13,13,0.86
TUBB4B,ENSG00000188229,hsa-miR-29a-3p,MIMAT0000086,19,12,13,0.36
ZBTB10,ENSG00000205189,hsa-miR-29a-3p,MIMAT0000086,19,12,9,0.73
ADSL,ENSG00000239900,hsa-miR-29a-3p,MIMAT0000086,18,13,15,0.64
ALG3,ENSG00000214160,hsa-miR-29a-3p,MIMAT0000086,18,12,10,0.43
ARRDC4,ENSG00000140450,hsa-miR-29a-3p,MIMAT0000086,18,14,12,0.73
CCT2,ENSG00000166226,hsa-miR-29a-3p,MIMAT0000086,18,11,11,0.41
COL3A1,ENSG00000168542,hsa-miR-29a-3p,MIMAT0000086,18,14,11,0.3
DHX8,ENSG00000067596,hsa-miR-29a-3p,MIMAT0000086,18,12,13,0.53
DNAJA1,ENSG00000086061,hsa-miR-29a-3p,MIMAT0000086,18,14,12,-0.06
DVL3,ENSG00000161202,hsa-miR-29a-3p,MIMAT0000086,18,12,16,0.69
EIF4G1,ENSG00000114867,hsa-miR-29a-3p,MIMAT0000086,18,14,14,0.36
FAM120A,ENSG00000048828,hsa-miR-29a-3p,MIMAT0000086,18,12,13,0.4
FUBP1,ENSG00000162613,hsa-miR-29a-3p,MIMAT0000086,18,13,10,-0.09
HSP90AB1,ENSG00000096384,hsa-miR-29a-3p,MIMAT0000086,18,14,11,0.38
ISG20L2,ENSG00000143319,hsa-miR-29a-3p,MIMAT0000086,18,14,18,0.99
KLF4,ENSG00000136826,hsa-miR-29a-3p,MIMAT0000086,18,12,12,0.92
LYSMD1,ENSG00000163155,hsa-miR-29a-3p,MIMAT0000086,18,13,15,1
NA,ENSG00000284431,hsa-miR-29a-3p,MIMAT0000086,18,11,13,0.88
NRAS,ENSG00000213281,hsa-miR-29a-3p,MIMAT0000086,18,13,11,0.84
SERPINB6,ENSG00000124570,hsa-miR-29a-3p,MIMAT0000086,18,13,14,0.39
TRAF4,ENSG00000076604,hsa-miR-29a-3p,MIMAT0000086,18,12,14,0.85
VCPIP1,ENSG00000175073,hsa-miR-29a-3p,MIMAT0000086,18,13,11,0.45
VEGFA,ENSG00000112715,hsa-miR-29a-3p,MIMAT0000086,18,14,11,0.73
YBX3,ENSG00000060138,hsa-miR-29a-3p,MIMAT0000086,18,13,13,1
ZNF644,ENSG00000122482,hsa-miR-29a-3p,MIMAT0000086,18,13,14,0.88
AGO2,ENSG00000123908,hsa-miR-29a-3p,MIMAT0000086,17,10,10,0.9
ATP11B,ENSG00000058063,hsa-miR-29a-3p,MIMAT0000086,17,10,12,0.77
ATP5MC1,ENSG00000159199,hsa-miR-29a-3p,MIMAT0000086,17,12,10,0.59
BLTP2,ENSG00000007202,hsa-miR-29a-3p,MIMAT0000086,17,10,11,0.38
BRD4,ENSG00000141867,hsa-miR-29a-3p,MIMAT0000086,17,11,11,0.44
CANX,ENSG00000127022,hsa-miR-29a-3p,MIMAT0000086,17,11,9,0.61
COL1A2,ENSG00000164692,hsa-miR-29a-3p,MIMAT0000086,17,10,7,0.99
DDX21,ENSG00000165732,hsa-miR-29a-3p,MIMAT0000086,17,15,14,0.79
DIAPH1,ENSG00000131504,hsa-miR-29a-3p,MIMAT0000086,17,12,13,0.42
DOT1L,ENSG00000104885,hsa-miR-29a-3p,MIMAT0000086,17,14,11,0.97
DYNLT1,ENSG00000146425,hsa-miR-29a-3p,MIMAT0000086,17,11,14,0.92
ESYT1,ENSG00000139641,hsa-miR-29a-3p,MIMAT0000086,17,9,12,0.41
FAM135A,ENSG00000082269,hsa-miR-29a-3p,MIMAT0000086,17,11,15,0.52
FRS2,ENSG00000166225,hsa-miR-29a-3p,MIMAT0000086,17,10,11,0.49
HECTD1,ENSG00000092148,hsa-miR-29a-3p,MIMAT0000086,17,13,11,0.51
KLHDC3,ENSG00000124702,hsa-miR-29a-3p,MIMAT0000086,17,12,13,-0.04
LAMC1,ENSG00000135862,hsa-miR-29a-3p,MIMAT0000086,17,13,12,0.99
NFIC,ENSG00000141905,hsa-miR-29a-3p,MIMAT0000086,17,13,13,0.71
PSMB4,ENSG00000159377,hsa-miR-29a-3p,MIMAT0000086,17,9,12,-1
RPS27A,ENSG00000143947,hsa-miR-29a-3p,MIMAT0000086,17,12,12,0.61
SEC11A,ENSG00000140612,hsa-miR-29a-3p,MIMAT0000086,17,12,10,0.5
SPTAN1,ENSG00000197694,hsa-miR-29a-3p,MIMAT0000086,17,10,9,0.7
TMEM127,ENSG00000135956,hsa-miR-29a-3p,MIMAT0000086,17,12,10,0.42
TSPAN14,ENSG00000108219,hsa-miR-29a-3p,MIMAT0000086,17,13,13,0.83
UBTD2,ENSG00000168246,hsa-miR-29a-3p,MIMAT0000086,17,13,11,0.94
YOD1,ENSG00000180667,hsa-miR-29a-3p,MIMAT0000086,17,14,11,0.42
ZNF282,ENSG00000170265,hsa-miR-29a-3p,MIMAT0000086,17,13,15,0.97
AKAP13,ENSG00000170776,hsa-miR-29a-3p,MIMAT0000086,16,13,9,0.66
ATAD2B,ENSG00000119778,hsa-miR-29a-3p,MIMAT0000086,16,11,9,1
ATM,ENSG00000149311,hsa-miR-29a-3p,MIMAT0000086,16,12,9,0.82
C2ORF68,ENSG00000168887,hsa-miR-29a-3p,MIMAT0000086,16,11,10,0.96
CEP76,ENSG00000101624,hsa-miR-29a-3p,MIMAT0000086,16,9,11,1
DDB1,ENSG00000167986,hsa-miR-29a-3p,MIMAT0000086,16,10,10,0.39
DDI2,ENSG00000197312,hsa-miR-29a-3p,MIMAT0000086,16,12,12,0.9
FBN1,ENSG00000166147,hsa-miR-29a-3p,MIMAT0000086,16,9,9,0.78
FOXO3,ENSG00000118689,hsa-miR-29a-3p,MIMAT0000086,16,10,7,0.82
GNB4,ENSG00000114450,hsa-miR-29a-3p,MIMAT0000086,16,15,13,0.9
MAPK1IP1L,ENSG00000168175,hsa-miR-29a-3p,MIMAT0000086,16,10,10,0.62
MARK3,ENSG00000075413,hsa-miR-29a-3p,MIMAT0000086,16,12,14,0.86
MAZ,ENSG00000103495,hsa-miR-29a-3p,MIMAT0000086,16,10,12,0.54
OSTC,ENSG00000198856,hsa-miR-29a-3p,MIMAT0000086,16,12,12,0.85
OTULIN,ENSG00000154124,hsa-miR-29a-3p,MIMAT0000086,16,12,14,0.96
PCGF3,ENSG00000185619,hsa-miR-29a-3p,MIMAT0000086,16,12,10,0.98
PDIK1L,ENSG00000175087,hsa-miR-29a-3p,MIMAT0000086,16,12,11,0.99
PRDX1,ENSG00000117450,hsa-miR-29a-3p,MIMAT0000086,16,10,9,0.49
REL,ENSG00000162924,hsa-miR-29a-3p,MIMAT0000086,16,11,14,0.9
RLF,ENSG00000117000,hsa-miR-29a-3p,MIMAT0000086,16,11,14,1
RPS3,ENSG00000149273,hsa-miR-29a-3p,MIMAT0000086,16,12,10,0.38
SEC31A,ENSG00000138674,hsa-miR-29a-3p,MIMAT0000086,16,10,11,0.81
SMAD3,ENSG00000166949,hsa-miR-29a-3p,MIMAT0000086,16,10,11,0.4
TRAM2,ENSG00000065308,hsa-miR-29a-3p,MIMAT0000086,16,11,12,0.74
USO1,ENSG00000138768,hsa-miR-29a-3p,MIMAT0000086,16,9,9,0.46
XPOT,ENSG00000184575,hsa-miR-29a-3p,MIMAT0000086,16,12,10,0.46
ZBTB37,ENSG00000185278,hsa-miR-29a-3p,MIMAT0000086,16,12,11,0.84
ACTN4,ENSG00000130402,hsa-miR-29a-3p,MIMAT0000086,15,10,12,0.39
CCND2,ENSG00000118971,hsa-miR-29a-3p,MIMAT0000086,15,11,11,0.84
CD276,ENSG00000103855,hsa-miR-29a-3p,MIMAT0000086,15,13,13,0.98
CHSY1,ENSG00000131873,hsa-miR-29a-3p,MIMAT0000086,15,9,11,0.7
CNIH1,ENSG00000100528,hsa-miR-29a-3p,MIMAT0000086,15,11,9,0.87
COL1A1,ENSG00000108821,hsa-miR-29a-3p,MIMAT0000086,15,11,8,0.97
DBT,ENSG00000137992,hsa-miR-29a-3p,MIMAT0000086,15,10,10,0.91
DCUN1D4,ENSG00000109184,hsa-miR-29a-3p,MIMAT0000086,15,12,11,0.76
DIP2C,ENSG00000151240,hsa-miR-29a-3p,MIMAT0000086,15,11,8,0.93
EIF6,ENSG00000242372,hsa-miR-29a-3p,MIMAT0000086,15,9,12,0.36
ENTPD7,ENSG00000198018,hsa-miR-29a-3p,MIMAT0000086,15,13,12,0.93
FBXW7,ENSG00000109670,hsa-miR-29a-3p,MIMAT0000086,15,11,9,0.96
GID8,ENSG00000101193,hsa-miR-29a-3p,MIMAT0000086,15,12,13,0.63
HMGCR,ENSG00000113161,hsa-miR-29a-3p,MIMAT0000086,15,9,15,0.62
HUWE1,ENSG00000086758,hsa-miR-29a-3p,MIMAT0000086,15,8,9,0.37
KCTD5,ENSG00000167977,hsa-miR-29a-3p,MIMAT0000086,15,10,10,0.97
KDM3B,ENSG00000120733,hsa-miR-29a-3p,MIMAT0000086,15,11,10,0.44
KLF2,ENSG00000127528,hsa-miR-29a-3p,MIMAT0000086,15,10,13,-1
MTSS2,ENSG00000132613,hsa-miR-29a-3p,MIMAT0000086,15,11,9,0.72
NFAT5,ENSG00000102908,hsa-miR-29a-3p,MIMAT0000086,15,12,12,0.9
NR3C1,ENSG00000113580,hsa-miR-29a-3p,MIMAT0000086,15,9,14,0.61
PLEC,ENSG00000178209,hsa-miR-29a-3p,MIMAT0000086,15,10,9,0.36
PRKAR1A,ENSG00000108946,hsa-miR-29a-3p,MIMAT0000086,15,10,11,0.39
PTEN,ENSG00000171862,hsa-miR-29a-3p,MIMAT0000086,15,10,10,0.69
RRM1,ENSG00000167325,hsa-miR-29a-3p,MIMAT0000086,15,14,11,0.56
SEC23A,ENSG00000100934,hsa-miR-29a-3p,MIMAT0000086,15,12,12,0.95
SLC30A7,ENSG00000162695,hsa-miR-29a-3p,MIMAT0000086,15,11,11,0.72
SNIP1,ENSG00000163877,hsa-miR-29a-3p,MIMAT0000086,15,12,11,0.89
SPATS2L,ENSG00000196141,hsa-miR-29a-3p,MIMAT0000086,15,10,11,0.6
TAOK1,ENSG00000160551,hsa-miR-29a-3p,MIMAT0000086,15,11,12,0.69
TBL1XR1,ENSG00000177565,hsa-miR-29a-3p,MIMAT0000086,15,11,13,0.8
TM9SF3,ENSG00000077147,hsa-miR-29a-3p,MIMAT0000086,15,10,10,0.38
TRA2B,ENSG00000136527,hsa-miR-29a-3p,MIMAT0000086,15,10,8,0.75
ALG13,ENSG00000101901,hsa-miR-29a-3p,MIMAT0000086,14,12,11,0.73
APLP2,ENSG00000084234,hsa-miR-29a-3p,MIMAT0000086,14,10,9,-1
ATP1A1,ENSG00000163399,hsa-miR-29a-3p,MIMAT0000086,14,11,11,0.44
BCL9L,ENSG00000186174,hsa-miR-29a-3p,MIMAT0000086,14,9,10,0.74
C5ORF15,ENSG00000113583,hsa-miR-29a-3p,MIMAT0000086,14,9,7,0.62
CBX6,ENSG00000183741,hsa-miR-29a-3p,MIMAT0000086,14,9,10,0.91
DNMT3A,ENSG00000119772,hsa-miR-29a-3p,MIMAT0000086,14,9,10,0.17
ERC1,ENSG00000082805,hsa-miR-29a-3p,MIMAT0000086,14,11,9,0.95
FAM13B,ENSG00000031003,hsa-miR-29a-3p,MIMAT0000086,14,9,8,0.67
GNAI2,ENSG00000114353,hsa-miR-29a-3p,MIMAT0000086,14,10,7,0.41
HELZ,ENSG00000198265,hsa-miR-29a-3p,MIMAT0000086,14,11,10,0.76
HNRNPA1,ENSG00000135486,hsa-miR-29a-3p,MIMAT0000086,14,14,11,0.42
KIAA1586,ENSG00000168116,hsa-miR-29a-3p,MIMAT0000086,14,10,7,0.55
LRP6,ENSG00000070018,hsa-miR-29a-3p,MIMAT0000086,14,10,8,0.96
MARCKS,ENSG00000277443,hsa-miR-29a-3p,MIMAT0000086,14,11,11,-1
MED28,ENSG00000118579,hsa-miR-29a-3p,MIMAT0000086,14,13,13,0.72
MFSD14A,ENSG00000156875,hsa-miR-29a-3p,MIMAT0000086,14,12,11,0.58
MORF4L2,ENSG00000123562,hsa-miR-29a-3p,MIMAT0000086,14,11,12,0.75
MRFAP1,ENSG00000179010,hsa-miR-29a-3p,MIMAT0000086,14,10,11,0.54
NASP,ENSG00000132780,hsa-miR-29a-3p,MIMAT0000086,14,12,11,0.85
NFIX,ENSG00000008441,hsa-miR-29a-3p,MIMAT0000086,14,10,9,0.44
NRDC,ENSG00000078618,hsa-miR-29a-3p,MIMAT0000086,14,12,9,0.48
PLK2,ENSG00000145632,hsa-miR-29a-3p,MIMAT0000086,14,7,6,0.51
PTBP3,ENSG00000119314,hsa-miR-29a-3p,MIMAT0000086,14,12,12,0.54
RAB21,ENSG00000080371,hsa-miR-29a-3p,MIMAT0000086,14,9,8,0.61
RFX7,ENSG00000181827,hsa-miR-29a-3p,MIMAT0000086,14,11,9,0.71
RHOBTB3,ENSG00000164292,hsa-miR-29a-3p,MIMAT0000086,14,8,9,0.38
RIC1,ENSG00000107036,hsa-miR-29a-3p,MIMAT0000086,14,10,11,0.99
RPS16,ENSG00000105193,hsa-miR-29a-3p,MIMAT0000086,14,8,8,-1
SGK1,ENSG00000118515,hsa-miR-29a-3p,MIMAT0000086,14,10,11,0.95
SLC35F6,ENSG00000213699,hsa-miR-29a-3p,MIMAT0000086,14,9,9,0.44
SMARCC1,ENSG00000173473,hsa-miR-29a-3p,MIMAT0000086,14,8,8,0.87
STRAP,ENSG00000023734,hsa-miR-29a-3p,MIMAT0000086,14,8,7,-1
TMED9,ENSG00000184840,hsa-miR-29a-3p,MIMAT0000086,14,11,11,0.56
TMOD3,ENSG00000138594,hsa-miR-29a-3p,MIMAT0000086,14,9,11,0.88
TOP2A,ENSG00000131747,hsa-miR-29a-3p,MIMAT0000086,14,10,12,0.66
TRIM44,ENSG00000166326,hsa-miR-29a-3p,MIMAT0000086,14,13,12,0.46
TTYH3,ENSG00000136295,hsa-miR-29a-3p,MIMAT0000086,14,11,9,0.64
UBE2K,ENSG00000078140,hsa-miR-29a-3p,MIMAT0000086,14,11,8,0.9
UBE2Z,ENSG00000159202,hsa-miR-29a-3p,MIMAT0000086,14,10,12,-1
USP37,ENSG00000135913,hsa-miR-29a-3p,MIMAT0000086,14,12,9,0.79
USP42,ENSG00000106346,hsa-miR-29a-3p,MIMAT0000086,14,10,9,0.82
VIRMA,ENSG00000164944,hsa-miR-29a-3p,MIMAT0000086,14,11,8,0.41
XRCC6,ENSG00000196419,hsa-miR-29a-3p,MIMAT0000086,14,9,10,-1
AHCYL1,ENSG00000168710,hsa-miR-29a-3p,MIMAT0000086,13,8,8,0.55
ANKRD13B,ENSG00000198720,hsa-miR-29a-3p,MIMAT0000086,13,7,13,1
ARCN1,ENSG00000095139,hsa-miR-29a-3p,MIMAT0000086,13,7,10,0.38
CALU,ENSG00000128595,hsa-miR-29a-3p,MIMAT0000086,13,9,12,0.43
CASP2,ENSG00000106144,hsa-miR-29a-3p,MIMAT0000086,13,10,10,0.55
CSDE1,ENSG00000009307,hsa-miR-29a-3p,MIMAT0000086,13,8,10,0.53
DCTN1,ENSG00000204843,hsa-miR-29a-3p,MIMAT0000086,13,8,10,0.38
ERGIC3,ENSG00000125991,hsa-miR-29a-3p,MIMAT0000086,13,8,9,0.47
ESYT2,ENSG00000117868,hsa-miR-29a-3p,MIMAT0000086,13,8,7,0.44
FMR1,ENSG00000102081,hsa-miR-29a-3p,MIMAT0000086,13,9,9,0.71
FSTL1,ENSG00000163430,hsa-miR-29a-3p,MIMAT0000086,13,9,10,0.96
GAPVD1,ENSG00000165219,hsa-miR-29a-3p,MIMAT0000086,13,9,10,0.56
GRK2,ENSG00000173020,hsa-miR-29a-3p,MIMAT0000086,13,9,11,0.39
HIPK1,ENSG00000163349,hsa-miR-29a-3p,MIMAT0000086,13,10,7,0.4
ID1,ENSG00000125968,hsa-miR-29a-3p,MIMAT0000086,13,10,9,0.56
KDM5B,ENSG00000117139,hsa-miR-29a-3p,MIMAT0000086,13,9,9,0.88
KMT5C,ENSG00000133247,hsa-miR-29a-3p,MIMAT0000086,13,11,11,1
LARP4B,ENSG00000107929,hsa-miR-29a-3p,MIMAT0000086,13,10,8,0.81
MAU2,ENSG00000129933,hsa-miR-29a-3p,MIMAT0000086,13,9,7,0.66
MTF2,ENSG00000143033,hsa-miR-29a-3p,MIMAT0000086,13,11,8,0.47
MYADM,ENSG00000179820,hsa-miR-29a-3p,MIMAT0000086,13,9,8,0.47
NA,ENSG00000285976,hsa-miR-29a-3p,MIMAT0000086,13,8,7,0.9
NARS1,ENSG00000134440,hsa-miR-29a-3p,MIMAT0000086,13,8,8,-1
NUP160,ENSG00000030066,hsa-miR-29a-3p,MIMAT0000086,13,11,11,0.99
PANK3,ENSG00000120137,hsa-miR-29a-3p,MIMAT0000086,13,8,10,0.46
PREP,ENSG00000085377,hsa-miR-29a-3p,MIMAT0000086,13,10,8,0.58
PSMA4,ENSG00000041357,hsa-miR-29a-3p,MIMAT0000086,13,8,12,0.59
PSMD2,ENSG00000175166,hsa-miR-29a-3p,MIMAT0000086,13,7,9,-1
RAB30,ENSG00000137502,hsa-miR-29a-3p,MIMAT0000086,13,7,6,0.97
REV3L,ENSG00000009413,hsa-miR-29a-3p,MIMAT0000086,13,8,10,0.9
RNF139,ENSG00000170881,hsa-miR-29a-3p,MIMAT0000086,13,12,11,-1
SBNO1,ENSG00000139697,hsa-miR-29a-3p,MIMAT0000086,13,10,9,0.63
SIAH2,ENSG00000181788,hsa-miR-29a-3p,MIMAT0000086,13,10,9,0.52
STAT3,ENSG00000168610,hsa-miR-29a-3p,MIMAT0000086,13,8,7,0.54
TIMM8B,ENSG00000150779,hsa-miR-29a-3p,MIMAT0000086,13,9,9,0.83
